SNo,Date,StartupName,IndustryVertical,SubVertical,City,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,yearmonth,CleanedAmount
1,09/01/2020,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,"20,00,00,000",nan,2020,2020-01-01,200000000.0
2,13/01/2020,Shuttl,Transportation,App based shuttle service,NCR,Susquehanna Growth Equity,Series C,"80,48,394",nan,2020,2020-01-01,8048394.0
3,09/01/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,"1,83,58,860",nan,2020,2020-01-01,18358860.0
4,02/01/2020,https://www.wealthbucket.in/,FinTech,Online Investment,NCR,Vinod Khatumal,Preseries A,"30,00,000",nan,2020,2020-01-01,3000000.0
5,02/01/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,"18,00,000",nan,2020,2020-01-01,1800000.0
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",nan,2020,2020-01-01,9000000.0
7,10/01/2020,Zomato,Hospitality,Online Food Delivery Platform,NCR,Ant Financial,Private Equity Round,"15,00,00,000",nan,2020,2020-01-01,150000000.0
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",nan,2019,2019-12-01,6000000.0
9,06/12/2019,CarDekho,E-Commerce,Automobile,NCR,Ping An Global Voyager Fund,Series D,"7,00,00,000",nan,2019,2019-12-01,70000000.0
10,03/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",nan,2019,2019-12-01,50000000.0
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,NCR,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",nan,2019,2019-12-01,20000000.0
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",nan,2019,2019-12-01,12000000.0
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,"3,00,00,000",nan,2019,2019-12-01,30000000.0
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,nan,Debt Funding,"59,00,000",nan,2019,2019-12-01,5900000.0
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Funding,"20,00,000",nan,2019,2019-12-01,2000000.0
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,NCR,Manipal Education and Medical Group (MEMG),Seed Funding,"5,00,00,000",nan,2019,2019-12-01,50000000.0
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",nan,2019,2019-12-01,231000000.0
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",nan,2019,2019-11-01,150000000.0
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,NCR,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",nan,2019,2019-11-01,486000.0
20,13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,NCR,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",nan,2019,2019-11-01,1500000.0
21,17/11/2019,Burger Singh,Food and Beverage,Indian Burger Brand,NCR,RB Investments,Venture,undisclosed,nan,2019,2019-11-01,-999.0
22,18/11/2019,Healthians,Health and Wellness,Healthcare services,NCR,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",nan,2019,2019-11-01,12000000.0
23,15/11/2019,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",nan,2019,2019-11-01,26000000.0
24,20/11/2019,Aye Finance,FinTech,Financial Services To MSMEs,NCR,FinTech,Debt Funding,"1,74,11,265",nan,2019,2019-11-01,17411265.0
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",nan,2019,2019-11-01,1300000.0
26,20/11/2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",nan,2019,2019-11-01,135000000.0
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,"3,00,000",nan,2019,2019-11-01,300000.0
28,19/11/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,NCR,Amour Infrastructure,Seed Funding,"22,00,00,000",nan,2019,2019-11-01,220000000.0
29,18/11/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",nan,2019,2019-11-01,15800000.0
30,15/11/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",nan,2019,2019-11-01,283000000.0
31,19/11/2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,nan,"20,00,00,000",nan,2019,2019-11-01,200000000.0
32,25/11/2019,Paytm,FinTech,Mobile Wallet,NCR,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000",nan,2019,2019-11-01,1000000000.0
33,04/10/2019,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,"4,50,00,000",nan,2019,2019-10-01,45000000.0
34,02/10/2019,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,"58,50,00,000",nan,2019,2019-10-01,585000000.0
35,21/10/2019,The Man Company,Consumer Goods,Beauty and Grooming,NCR,Ayushmann Khurana,Corporate Round,unknown,nan,2019,2019-10-01,-999.0
36,05/09/2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",nan,2019,2019-09-01,4500000.0
37,04/09/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"33,00,000",nan,2019,2019-09-01,3300000.0
38,04/09/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"60,00,000",nan,2019,2019-09-01,6000000.0
39,04/09/2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,PreSeries A,"50,00,000",nan,2019,2019-09-01,5000000.0
40,04/09/2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000",nan,2019,2019-09-01,18000000.0
41,04/09/2019,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Seed,"10,00,000",nan,2019,2019-09-01,1000000.0
42,04/09/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"1,00,00,000",nan,2019,2019-09-01,10000000.0
43,04/09/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",nan,2019,2019-09-01,450000000.0
44,03/09/2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,"50,00,000",nan,2019,2019-09-01,5000000.0
45,01/08/2019,CarDekho,E-Commerce,Automotive,NCR,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",nan,2019,2019-08-01,20000000.0
46,01/08/2019,Progcap,Finance,Supply Chain Management,NCR,Sequoia India,Series A,"50,00,000",nan,2019,2019-08-01,5000000.0
47,01/08/2019,MyPetrolPump,Retail,Fuel Delivery,Bangalore,nan,Seed Funding Round,"16,00,000",nan,2019,2019-08-01,1600000.0
48,01/08/2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000",nan,2019,2019-08-01,140000000.0
49,01/08/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,NCR,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",nan,2019,2019-08-01,38080000.0
50,12/08/2019,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,"12,50,00,000",nan,2019,2019-08-01,125000000.0
51,13/08/2019,Cars24,E-Commerce,Car Retail,NCR,MS Dhoni,Series D,"1,10,00,000",nan,2019,2019-08-01,11000000.0
52,13/08/2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"5,10,00,000",nan,2019,2019-08-01,51000000.0
53,23/08/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"3,70,00,000",nan,2019,2019-08-01,37000000.0
54,23/08/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Funding,"5,00,000",nan,2019,2019-08-01,500000.0
55,23/08/2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"11,00,00,000",nan,2019,2019-08-01,110000000.0
56,22/08/2019,INDwealth,FinTech,Wealth Management,NCR,Tiger Global Management,Venture Round,"1,50,00,000",nan,2019,2019-08-01,15000000.0
57,21/08/2019,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,"65,90,000",nan,2019,2019-08-01,6590000.0
58,23/08/2019,AdmitKard,EdTech,University Admissions,NCR,Growth DNA,Seed Funding,"10,00,000",nan,2019,2019-08-01,1000000.0
59,19/08/2019,Mishry Reviews,Services,Product Review,NCR,Vir Sanghvi,Series A,Undisclosed,nan,2019,2019-08-01,-999.0
60,19/08/2019,Grofers,E-Commerce,Grocery Delivery,NCR,Softbank Vision Fund,Series F,"7,00,00,000",nan,2019,2019-08-01,70000000.0
61,27/08/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,"3,90,00,00,000",nan,2019,2019-08-01,3900000000.0
62,02/07/2019,RenewBuy,Finance,Auto Insurance,NCR,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000",nan,2019,2019-07-01,19000000.0
63,02/07/2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,PreSeries A,"25,00,000",nan,2019,2019-07-01,2500000.0
64,01/07/2019,WizCounsel,Compliance,Consulting,NCR,Kapil Dev,Angel,"1,45,000",nan,2019,2019-07-01,145000.0
65,03/07/2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000",nan,2019,2019-07-01,1000000.0
66,01/07/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"3,80,80,000",nan,2019,2019-07-01,38080000.0
67,04/07/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,NCR,Artha Venture,Seed Funding,"5,00,000",nan,2019,2019-07-01,500000.0
68,10/07/2019,"""BYJU\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,"15,00,00,000",nan,2019,2019-07-01,150000000.0
69,11/07/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",nan,2019,2019-07-01,60000000.0
70,10/07/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000",nan,2019,2019-07-01,16000000.0
71,10/07/2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"57,50,000",nan,2019,2019-07-01,5750000.0
72,10/07/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000",nan,2019,2019-07-01,2500000.0
73,09/07/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000",nan,2019,2019-07-01,1000000.0
74,08/07/2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,"3,19,605",nan,2019,2019-07-01,319605.0
75,05/06/2019,NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,"5,10,00,000",nan,2019,2019-06-01,51000000.0
76,04/06/2019,Bira91,Food and Beverage,Brewery,NCR,Anicut Capital,Debt Funding,"1,00,00,000",nan,2019,2019-06-01,10000000.0
77,03/06/2019,FabHotels,E-Commerce,Hospitality,NCR,"Goldman Sachs, Accel Partners and Qualcomm",nan,"48,89,975.54",nan,2019,2019-06-01,4889975.54
78,03/06/2019,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,"90,00,000",nan,2019,2019-06-01,9000000.0
79,04/06/2019,BharatPe,Finance,FinTech,NCR,Insight Partners,Series B,"7,50,00,000",nan,2019,2019-06-01,75000000.0
80,04/06/2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",PreSeries A,"2,60,00,000",nan,2019,2019-06-01,26000000.0
81,03/06/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,PreSeries A,"25,00,000",nan,2019,2019-06-01,2500000.0
82,06/06/2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",nan,"27,39,034.68",nan,2019,2019-06-01,2739034.68
83,06/06/2019,Chakr Innovation,Energy,Renewable Energy,NCR,IAN Fund,Series A,"2,60,00,000",nan,2019,2019-06-01,26000000.0
84,06/06/2019,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,"1,51,09,500.00",nan,2019,2019-06-01,15109500.0
85,10/06/2019,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,"4,30,200",nan,2019,2019-06-01,430200.0
86,10/06/2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"1,55,00,000",nan,2019,2019-06-01,15500000.0
87,06/06/2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"5,20,00,000",nan,2019,2019-06-01,52000000.0
88,08/06/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"35,84,000",nan,2019,2019-06-01,3584000.0
89,04/06/2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"34,00,000",nan,2019,2019-06-01,3400000.0
90,06/05/2019,Ola Electric,Transport,Cabs,Bangalore,Tata Sons,Series A,undisclosed,nan,2019,2019-05-01,-999.0
91,06/05/2019,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture  Series Unknown,"8,68,600",nan,2019,2019-05-01,868600.0
92,05/05/2019,StyleDotMe,E-commerce,Fashion and Shopping,NCR,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,undisclosed,nan,2019,2019-05-01,-999.0
93,01/05/2019,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"15,00,00,000",nan,2019,2019-05-01,150000000.0
94,02/05/2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"5,00,00,000",nan,2019,2019-05-01,50000000.0
95,28/05/2019,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,"5,10,00,000",nan,2019,2019-05-01,51000000.0
96,28/05/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Funding,"14,00,00,000",nan,2019,2019-05-01,140000000.0
97,30/05/2019,GlowRoad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,"1,15,00,000",nan,2019,2019-05-01,11500000.0
98,31/05/2019,Bira91,Food and Beverage,Brewery,NCR,Sixth Sense Ventures,Series B,"56,00,000",nan,2019,2019-05-01,5600000.0
99,16/04/2019,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,"4,50,00,000",nan,2019,2019-04-01,45000000.0
100,12/04/2019,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,"1,70,00,000",nan,2019,2019-04-01,17000000.0
101,10/04/2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"4,30,665",nan,2019,2019-04-01,430665.0
102,13/04/2019,Tripoto,Social Media,Travel,NCR,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"35,91,375",nan,2019,2019-04-01,3591375.0
103,12/04/2019,Azah,Health and Wellness,Organic wellness,NCR,Unnamed angel investors,Seed Funding,"2,00,000",nan,2019,2019-04-01,200000.0
104,11/04/2019,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,"35,00,000",nan,2019,2019-04-01,3500000.0
105,10/04/2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,"63,20,820",nan,2019,2019-04-01,6320820.0
106,10/04/2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"24,43,495",nan,2019,2019-04-01,2443495.0
107,10/04/2019,Unacademy,Edtech,E-learning,Bangalore,Kalyan Krishnamurthy,Seed Angel Funding,"3,07,000",nan,2019,2019-04-01,307000.0
108,11/04/2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"2,60,00,000",nan,2019,2019-04-01,26000000.0
109,19/04/2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,"30,00,000",nan,2019,2019-04-01,3000000.0
110,19/04/2019,KrazyBee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000+",nan,2019,2019-04-01,14342000.0
111,17/04/2019,Shuttl,Transportation,Bus Aggregation,NCR,New Atlantic Ventures,Venture Round,"50,00,000",nan,2019,2019-04-01,5000000.0
112,17/04/2019,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,"30,00,000",nan,2019,2019-04-01,3000000.0
113,01/02/2019,FleetX,AI,Logistics,NCR,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,PreSeries A,Undisclosed,nan,2019,2019-02-01,-999.0
114,08/02/2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"22,60,00,000",nan,2019,2019-02-01,226000000.0
115,13/02/2019,NanoClean Global,Nanotechnology,Anti-Pollution,NCR,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"6,00,000",nan,2019,2019-02-01,600000.0
116,14/02/2018,OyoRooms,Hospitality,Budget Rooms,NCR,DiDi Chuxing,Equity,"10,00,00,000",nan,2018,2018-02-01,100000000.0
117,03/01/2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,"11,00,00,000",nan,2019,2019-01-01,110000000.0
118,04/01/2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"2,20,00,000",nan,2019,2019-01-01,22000000.0
119,04/01/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",DebtFunding,"50,00,000",nan,2019,2019-01-01,5000000.0
120,04/12/2018,Manch,Social Media,Hyperlocal Content,NCR,Stellaris Venture Partners,Seed Funding,"7,00,000",nan,2018,2018-12-01,700000.0
121,01/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,NCR,Steadview Capital and Vy Capital.,Series D,"5,00,00,000",nan,2018,2018-12-01,50000000.0
122,02/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,PreSeries A,"8,00,000",nan,2018,2018-12-01,800000.0
123,02/12/2018,Career Anna,Online Education,"Video-based certification, trainings",NCR,Individual Investors,PreSeries A,"5,72,000",nan,2018,2018-12-01,572000.0
124,04/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"1,43,000",nan,2018,2018-12-01,143000.0
125,06/12/2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"20,00,000",nan,2018,2018-12-01,2000000.0
126,06/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",NCR,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"35,00,000",nan,2018,2018-12-01,3500000.0
127,01/11/2018,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angels Network,Seed Angel Funding,"1,38,995",nan,2018,2018-11-01,138995.0
128,03/11/2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,"2,77,99,000",nan,2018,2018-11-01,27799000.0
129,06/11/2018,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"5,00,00,000",nan,2018,2018-11-01,50000000.0
130,08/11/2018,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed,Series A,"5,00,000",nan,2018,2018-11-01,500000.0
131,08/11/2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,"10,00,000",nan,2018,2018-11-01,1000000.0
132,12/11/2018,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,"10,00,000",nan,2018,2018-11-01,1000000.0
133,12/11/2018,MilkBAsket,Food,Micro-delivery grocery service,NCR,Mayfield Fund,Series B,"13,00,000",nan,2018,2018-11-01,1300000.0
134,13/11/2018,DriveU,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,"10,00,000",nan,2018,2018-11-01,1000000.0
135,14/11/2018,CleanseCar,Services,Car Wash,Bangalore,Venture Catalysts,Seed Angel Funding,"5,00,000",nan,2018,2018-11-01,500000.0
136,19/11/2018,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,"30,00,00,000",nan,2018,2018-11-01,300000000.0
137,20/11/2018,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B Extension,"60,00,000",nan,2018,2018-11-01,6000000.0
138,21/11/2018,Genius Corner,Education,Personalized Learning,NCR,Individual investors,Seed Funding,"2,78,000",nan,2018,2018-11-01,278000.0
139,22/11/2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,"3,10,00,000",nan,2018,2018-11-01,31000000.0
140,22/11/2018,Skillbox,Social Network,Art,NCR,Individual investors,Seed Funding,Undisclosed,nan,2018,2018-11-01,-999.0
141,23/11/2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,"34,00,000",nan,2018,2018-11-01,3400000.0
142,24/11/2018,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,"2,95,00,000",nan,2018,2018-11-01,29500000.0
143,25/11/2018,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,"4,20,00,000",nan,2018,2018-11-01,42000000.0
144,25/11/2018,Roposo,Social Media,Video Sharing,NCR,Bertelsmann India Investments,Series B,"17,00,000",nan,2018,2018-11-01,1700000.0
145,01/10/2018,Northmist,Fashion,Mens Wear,NCR,Prashant Jaiswal,Seed Angel Funding,nan,nan,2018,2018-10-01,-999.0
146,02/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed Angel Funding,"1,10,00,000",nan,2018,2018-10-01,11000000.0
147,04/10/2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,"82,00,000",nan,2018,2018-10-01,8200000.0
148,05/10/2018,Droom,Automobile,New and Used Cars Platform,NCR,ZigExN,Series E,"30,00,000",nan,2018,2018-10-01,3000000.0
149,11/10/2018,Innov8,Real Estate,Co-Working,NCR,Credence Family Office,PreSeries A,"40,00,000",nan,2018,2018-10-01,4000000.0
150,12/10/2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Funding,"1,46,80,000",nan,2018,2018-10-01,14680000.0
151,12/10/2018,LetsTransport,Logistics Tech,Book Trucks Online,Bangalore,Fosun International,Series C,"1,20,00,000",nan,2018,2018-10-01,12000000.0
152,01/09/2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,"3,50,00,000",nan,2018,2018-09-01,35000000.0
153,03/09/2018,Udaan,B2B Platform,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,"22,50,00,000",nan,2018,2018-09-01,225000000.0
154,03/09/2018,Daily hunt,Consumer Internet,News and ebooks Mobile App,Bangalore,Falcon Edge,Private Equity,"63,90,000",nan,2018,2018-09-01,6390000.0
155,04/09/2018,3HCare,Healthcare,Healthcare Service Provider,NCR,nan,Seed Angel Funding,"10,00,000",nan,2018,2018-09-01,1000000.0
156,04/09/2018,HappyGoEasy,Consumer Internet,Online Travel Agecy,NCR,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,nan,nan,2018,2018-09-01,-999.0
157,05/09/2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,"15,72,00,000",nan,2018,2018-09-01,157200000.0
158,05/09/2018,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI,Private Equity,nan,nan,2018,2018-09-01,-999.0
159,06/09/2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,"10,00,00,000",nan,2018,2018-09-01,100000000.0
160,10/09/2018,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,NCR,Stellaris Ventures & Others,Private Equity,"40,00,000",nan,2018,2018-09-01,4000000.0
161,11/09/2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,"3,20,00,000",nan,2018,2018-09-01,32000000.0
162,11/09/2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,"55,00,000",nan,2018,2018-09-01,5500000.0
